1,Abdon villegas padil,L,L,L,V,V,L,V,L,L,L,L
2,Abdon villegas padil,E,L,L,E,E,L,E,E,L,L,L
3,Abel azar,E,L,E,V,V,E,V,V,L,L,L
4,Abel azar,V,L,L,V,E,L,V,L,V,L,V
5,Abel azar,L,L,V,L,L,V,L,V,V,V,V
6,Abel azar,V,L,L,E,V,V,E,L,V,L,L
7,Abel monge,L,L,L,L,L,L,L,L,L,L,L
8,Abel monge,L,L,L,L,L,L,L,L,V,V,L
9,Abel monge,L,L,L,L,L,L,L,L,L,V,E
10,Abel monge,L,L,L,L,L,L,L,L,V,L,V
11,Abel monge,L,L,L,L,L,V,L,L,E,L,V
12,Abel monge,L,L,L,L,L,V,L,L,E,V,V
13,ABEL SANCHEZ 1,V,L,L,E,E,L,L,E,E,L,L
14,ABEL SANCHEZ 10,V,E,E,E,E,L,V,E,E,E,L
15,ABEL SANCHEZ 11,E,V,V,V,V,E,E,V,L,L,L
16,ABEL SANCHEZ 12,E,L,L,L,L,E,L,L,E,E,L
17,ABEL SANCHEZ 13,L,L,L,V,V,E,E,E,L,L,L
18,ABEL SANCHEZ 14,L,E,E,E,E,L,V,E,L,E,L
19,ABEL SANCHEZ 2,V,L,E,E,E,E,V,E,L,L,L
20,ABEL SANCHEZ 3,V,E,L,E,E,L,E,E,L,L,L
21,ABEL SANCHEZ 4,V,E,E,E,E,L,L,E,L,E,L
22,ABEL SANCHEZ 5,E,L,L,V,L,L,V,V,L,L,L
23,ABEL SANCHEZ 6,E,L,E,L,V,L,V,V,E,L,L
24,ABEL SANCHEZ 7,E,E,L,V,V,L,E,L,E,L,L
25,ABEL SANCHEZ 8,E,E,E,L,L,L,E,L,L,L,L
26,ABEL SANCHEZ 9,V,V,V,E,E,L,E,E,L,L,L
27,Abelardo mrtz,L,E,L,L,L,L,L,L,E,L,L
28,Abelardo mrtz,V,L,L,L,L,E,L,V,E,L,L
29,Abelardo mrtz,V,V,L,L,E,V,V,V,L,L,L
30,Abelardo mrtz,V,E,V,L,L,L,L,V,V,L,L
31,ABELITA🧖,V,L,L,L,V,L,V,V,V,L,V
32,ABELITA🧖,V,L,L,V,V,V,V,E,V,L,V
33,ABNDNCIA 12,V,L,L,E,E,L,E,L,L,L,L
34,ABNDNCIA 12,L,L,L,L,L,L,L,L,L,L,L
35,ABNDNCIA 12,V,L,E,L,E,E,L,L,L,L,L
36,ABNDNCIA 12,V,L,L,E,L,E,V,L,L,L,L
37,Abraham Ramos García,L,L,L,L,V,L,E,L,L,L,V
38,Abraham Ramos García,V,L,L,E,V,L,L,V,L,L,V
39,Abrahan américa,V,L,L,L,E,L,E,L,L,L,E
40,Abrahan américa,V,L,L,E,V,L,L,L,E,L,V
41,Abram elite,L,L,E,L,E,V,V,L,L,L,L
42,Abuelito,L,L,L,V,V,L,V,L,L,L,L
43,Abuelito,V,L,L,V,E,L,V,E,E,L,L
44,Abuelito,E,L,L,E,V,V,L,V,V,L,L
45,Abuelito,L,L,L,L,L,L,V,L,L,L,L
46,ABUNDANCIA 11:11,L,L,V,L,L,L,E,L,E,L,L
47,ABUNDANCIA 11:11,L,L,L,L,E,L,V,L,L,L,L
48,AC Chilo El Grande,E,L,E,V,E,L,L,V,V,L,L
49,AC Chilo El Grande,E,L,E,L,V,L,E,V,L,L,V
50,AC Chilo El Grande,L,L,L,L,V,L,E,V,E,L,V
51,AC Chilo El Grande,V,E,E,L,V,L,L,V,E,L,L
52,Acapulquirri,V,L,L,V,E,L,V,V,L,L,V
53,Acapulquirri,E,L,L,E,L,V,L,L,E,L,L
54,Acgerardo 1,L,V,V,V,L,V,V,L,L,L,L
55,ACHARLY,E,L,L,E,E,V,E,L,L,L,E
56,ACHARLY,E,L,L,V,V,E,E,L,E,L,L
57,ACHARLY,V,L,E,V,E,E,V,V,L,E,L
58,ACHARLY,V,L,E,E,E,E,V,E,L,L,E
59,ACHARLY,E,L,L,E,V,L,V,E,E,L,L
60,ACHARLY,V,L,E,V,E,V,V,L,L,L,L
61,ACHARLY,V,E,L,E,V,L,V,E,E,L,L
62,ACHARLY,V,L,E,L,V,L,E,V,E,E,L
63,ACHARLY,L,E,L,E,V,E,E,L,L,E,V
64,ACHARLY,E,L,E,E,L,L,L,V,E,L,L
65,ACHARLY,V,L,V,L,E,L,E,V,E,L,E
66,ACHARLY,V,V,V,V,V,V,E,E,V,L,E
67,Acliga 11,L,L,L,L,V,L,V,L,L,L,L
68,Acord,L,L,L,L,V,L,E,L,L,L,L
69,Acord,V,L,L,L,V,L,V,V,L,L,L
70,Acord,L,L,E,L,L,L,E,V,V,L,V
71,Acord,E,E,L,L,V,L,E,E,E,L,L
72,Adal mendoza,V,L,L,L,V,E,V,L,L,L,V
73,Adal mendoza,V,L,L,E,V,L,V,E,E,L,V
74,Adal95,V,L,L,V,V,E,L,E,V,L,V
75,Adal95,E,V,E,L,E,V,V,L,L,L,V
76,Adan colocho,E,L,L,L,E,L,E,L,E,L,L
77,Adan colocho,E,L,L,E,E,L,E,L,E,L,L
78,Adan colocho,V,L,L,E,V,L,V,V,L,L,L
79,Adán Flores W1,L,L,L,L,V,L,V,V,L,L,V
80,Adán Flores W2,E,L,L,E,V,L,V,L,V,L,V
81,Adán Flores W3,L,V,L,L,V,L,L,L,L,L,V
82,Adán Flores W4,V,V,L,L,V,L,E,V,L,L,L
83,ADANSU 1,L,L,L,V,V,L,V,L,V,L,V
84,ADANSU 2,L,E,L,V,V,L,V,L,L,L,E
85,ADANSU 3,L,V,L,V,V,L,V,L,L,L,V
86,Adanzeiro 🙌🏾,L,L,E,V,E,E,V,L,L,L,E
87,Adanzeiro 🙌🏾,L,L,E,V,E,L,V,L,L,L,E
88,Adanzeiro 🙌🏾,E,E,L,V,L,E,E,E,L,L,V
89,Adanzeiro 🙌🏾,E,E,L,E,L,E,E,E,L,L,V
90,Adanzeiro 🙌🏾,E,E,E,V,L,E,E,E,L,L,V
91,Adanzeiro 🙌🏾,E,E,E,E,L,E,E,E,L,L,V
92,Adanzeiro🌊,V,L,L,V,L,L,E,L,L,L,L
93,Adanzeiro🌊,L,L,L,V,L,L,E,L,L,L,L
94,Adanzeiro🍻,E,V,L,V,E,L,V,L,L,L,L
95,Adanzeiro🍻,L,V,L,E,E,V,V,L,L,L,L
96,Adelfo1980,V,L,V,V,E,E,V,V,L,L,V
97,Adelfo1980,L,V,L,L,V,V,E,L,L,E,V
98,Adelfo1980,V,V,V,V,V,L,E,L,L,V,E
99,Adelfo1980,L,L,L,E,V,L,E,E,V,L,E
100,Adelfo1980,E,V,E,L,V,E,V,V,E,L,E
101,Adelfo1980,E,V,E,E,V,L,L,L,V,E,E
102,Adilene 1,V,L,L,V,V,L,E,V,L,L,V
103,Adilene 2,L,L,L,V,V,E,V,V,E,L,E
104,Adilene 3,E,V,L,E,V,V,L,L,V,L,L
105,Adilene 4,V,L,L,V,E,L,V,E,L,L,V
106,Adivinale,V,V,V,L,L,V,L,E,E,L,L
107,Adivinale,E,V,V,L,L,V,L,E,E,L,L
108,Adivinale,L,V,V,L,L,V,L,E,E,L,L
109,Adixtos,V,E,L,E,V,L,V,L,V,L,L
110,ADN GUILLE'S,V,L,V,L,L,E,E,L,L,L,L
111,ADN GUILLE'S,V,L,V,L,L,L,E,L,L,L,L
112,Adolfo garibay,L,L,L,L,L,L,L,L,L,L,L
113,Adolfo garibay,L,L,L,L,V,L,L,L,L,L,L
114,Adolfo garibay,L,L,L,V,L,L,L,L,L,L,L
115,Adolfo garibay,L,L,L,V,V,L,L,L,L,L,L
116,Adolfo garibay,V,L,L,L,L,L,L,L,L,L,L
117,Adolfo garibay,V,L,L,L,V,L,L,L,L,L,L
118,Adolfo garibay,V,L,L,V,L,L,L,L,L,L,L
119,Adolfo garibay,V,L,L,V,V,L,L,L,L,L,L
120,Adolfo guerrero de L,E,L,L,L,V,L,V,L,L,L,E
121,Adolfo guerrero de L,V,L,E,E,E,V,L,E,L,L,E
122,ADRIAN 1655,L,L,L,L,L,L,L,L,L,L,L
123,ADRIAN 1655,L,L,L,E,L,L,L,L,L,L,L
124,ADRIAN 1655,L,L,L,L,E,L,L,L,L,L,L
125,ADRIAN 1655,L,L,L,L,L,E,L,L,L,L,L
126,ADRIAN 1655,L,L,L,L,L,L,E,L,L,L,L
127,ADRIAN 1655,L,L,L,L,L,L,L,E,L,L,L
128,ADRIAN 1655,L,L,L,E,E,L,L,L,L,L,L
129,ADRIAN 1655,L,L,L,E,E,L,E,E,L,L,L
130,ADRIAN 1655,L,L,L,E,V,L,L,V,V,L,V
131,ADRIAN 1655,V,L,L,E,V,E,L,V,E,V,V
132,Adrián cruz,V,L,L,V,V,V,V,L,L,L,V
133,Adrián cruz,L,L,L,E,V,L,E,L,V,L,V
134,Adrián cruz,E,L,L,L,V,E,L,V,V,L,V
135,Adrián cruz,V,E,L,E,V,L,V,V,L,L,L
136,Adrián cruz,E,L,E,L,V,E,L,E,V,L,L
137,Adrián cruz,V,L,L,L,E,V,V,V,E,L,E
138,Adrián cruz,L,L,L,E,V,E,V,L,V,L,V
